time,block_number,transaction_index,value,gas,gas_price,max_fee_per_gas,max_priority_fee_per_gas,count
2021-08-14 00:29:28.000,13020084.0,94.0,0.0,163486.1798941799,58267225933.48677,83904465422.22223,6894747977.777778,189
2021-08-14 00:29:48.000,13020085.0,62.5,0.0,227275.15873015873,49827162297.07143,88676629857.14285,4618450000.0,126
2021-08-14 00:29:53.000,13020086.0,74.5,0.0,185934.62,62503994947.7,73264297600.0,12693379450.0,150
2021-08-14 00:30:05.000,13020087.0,51.5,0.0,210589.83653846153,52028478255.25,85701630428.57143,6909962238.095238,104
2021-08-14 00:30:07.000,13020088.0,136.0,0.0,204768.72893772894,47105874910.83883,71219068454.54546,25382390063.636364,273
2021-08-14 00:30:13.000,13020089.0,25.0,0.0,323298.1568627451,58615138742.64706,83537316000.0,4524578953.846154,51
2021-08-14 00:30:16.000,13020090.0,60.5,0.0,256956.0655737705,56821282016.63115,85000154279.06976,8903425348.83721,122
2021-08-14 00:30:26.000,13020091.0,15.0,0.0,355070.8387096774,61688042267.064514,83833334000.0,24000001000.0,31
2021-08-14 00:30:30.000,13020092.0,84.5,0.0,341613.1823529412,75434398301.45882,84957823142.85715,0.0,170
2021-08-14 00:31:02.000,13020093.0,70.0,0.0,332159.8581560284,55883617694.12057,86441185230.76923,10535909511.538462,141
2021-08-14 00:31:06.000,13020094.0,59.5,0.0,301037.4583333333,62551739820.558334,77557468153.84616,5807832254.153846,120
2021-08-14 00:31:16.000,13020095.0,76.5,0.0,329223.7662337662,70095155254.19481,90441043428.57143,14053516123.214285,154
2021-08-14 00:31:35.000,13020096.0,1.5,0.0,222409.25,76213987339.0,100812660500.0,11894999800.0,4
2021-08-14 00:31:37.000,13020097.0,90.0,0.0,317022.51933701657,76510365170.221,116208690056.33803,49117724197.60564,181
2021-08-14 00:31:49.000,13020098.0,74.5,0.0,239084.08666666667,82440650879.18666,115344737088.88889,22220647053.333332,150
2021-08-14 00:32:14.000,13020099.0,29.0,253.26923076923077,170408.10169491524,72579068916.44067,97890229789.47368,13176920901.052631,59
2021-08-14 00:32:19.000,13020100.0,91.5,0.0,203236.44565217392,64941713639.722824,78047269285.71428,38217233903.57143,184
2021-08-14 00:32:26.000,13020101.0,131.5,0.0,218072.83712121213,76472580349.04546,110300124056.33803,19352808003.80282,264
2021-08-14 00:33:01.000,13020102.0,8.5,0.0,91664.83333333333,78574925261.83333,109855485800.0,12100000000.0,18
2021-08-14 00:33:02.000,13020103.0,67.5,0.0,207752.05147058822,76052572090.04411,,,136
2021-08-14 00:33:34.000,13020105.0,144.5,0.0,188569.43103448275,70911350340.03448,,,290
2021-08-14 00:33:43.000,13020106.0,12.0,0.0,240421.2,74933596854.48,,,25
2021-08-14 00:33:46.000,13020107.0,119.5,0.0,181517.07916666666,61516948350.541664,107495639122.90503,17500817921.50838,240
2021-08-14 00:33:48.000,13020108.0,53.0,43.10909090909091,170776.28971962616,70640771847.45795,105148512913.04347,10230641173.913044,107
2021-08-14 00:33:59.000,13020109.0,153.0,0.0,182980.5016286645,70661143088.52118,104480479446.80852,16154195478.723404,307
2021-08-14 00:34:27.000,13020110.0,57.5,0.0,156818.9827586207,74118791971.80173,132151228312.5,4241350656.25,116
2021-08-14 00:34:47.000,13020112.0,139.0,0.0,189955.48028673834,69201991714.79211,93830496741.93549,36688217967.741936,279
2021-08-14 00:35:04.000,13020113.0,5.0,0.0,210644.27272727274,78238726509.18182,96500339200.0,4400000000.0,11
2021-08-14 00:35:06.000,13020114.0,8.5,0.0,128525.16666666667,64475887149.166664,82968987500.0,23833333000.0,18
2021-08-14 00:35:09.000,13020115.0,128.5,0.0,234839.96511627908,66354938176.54651,88208910619.04762,38479653904.7619,258
2021-08-14 00:35:28.000,13020116.0,130.0,0.0,244426.908045977,64522908282.08429,106057739168.6747,9667466707.46988,261
2021-08-14 00:35:44.000,13020117.0,6.5,0.0,121665.21428571429,63547684679.78571,82028371000.0,4321932435.0,14
2021-08-14 00:35:46.000,13020118.0,145.0,0.0,200606.5738831615,71640675433.19931,106367549878.78787,22828447106.075756,291
2021-08-14 00:36:13.000,13020119.0,115.0,0.0,158195.16883116882,67470227987.987015,108319386217.94872,10186251158.717949,231
2021-08-14 00:36:35.000,13020120.0,30.0,0.0,204307.2131147541,72589135150.90164,95629863875.0,18516335450.0,61
2021-08-14 00:36:41.000,13020121.0,240.0,0.0,131879.41164241164,68729427494.9709,112332504005.10204,10351139992.857143,481
2021-08-14 00:37:21.000,13020122.0,9.5,0.0,168828.3,66149472346.9,85411125230.76923,4084615407.6923075,20
2021-08-14 00:37:22.000,13020123.0,70.5,0.0,186174.9366197183,69518058450.33803,,,142
2021-08-14 00:37:34.000,13020124.0,40.5,0.0,155772.78048780488,65028594333.04878,94962083500.0,18009320103.42105,82
2021-08-14 00:37:36.000,13020125.0,93.0,49.361702127659576,260271.06951871657,60715031665.04278,98925778600.0,17037048792.0,187
2021-08-14 00:37:48.000,13020126.0,21.5,0.0,106005.65909090909,66823924600.204544,85538214428.57143,4246066028.571429,44
2021-08-14 00:37:49.000,13020127.0,135.0,0.0,161565.95571955718,58563107236.92251,96703740681.81818,21138778204.545456,271
2021-08-14 00:37:57.000,13020128.0,2.0,0.0,122555.6,66538994690.8,,,5
2021-08-14 00:37:58.000,13020129.0,176.5,0.05154639175257732,151221.21468926553,61599701722.305084,86476718163.63637,18316040661.81818,354
2021-08-14 00:38:24.000,13020130.0,3.0,0.0,258173.2857142857,66553248070.28571,98075431000.0,4000000000.0,7
2021-08-14 00:38:25.000,13020131.0,149.5,0.0,204255.67,63709812348.26667,92172088354.83871,8659840693.548388,300
2021-08-14 00:38:49.000,13020132.0,70.0,0.0,236332.55319148937,65837313776.12057,90961538812.5,20152864096.875,141
2021-08-14 00:38:58.000,13020133.0,39.5,0.0,172205.8375,70481817219.1375,99668889444.44444,3973703698.888889,80
2021-08-14 00:39:06.000,13020134.0,62.5,0.0,197632.69047619047,63143890812.07143,85927646153.84616,22370033429.846153,126
2021-08-14 00:39:13.000,13020135.0,102.0,0.0,217197.24390243902,62014619811.86829,97619999459.01639,23246619052.95082,205
2021-08-14 00:39:29.000,13020136.0,9.5,0.0,164968.1,62878089736.3,87492467800.0,3600000000.0,20
2021-08-14 00:39:30.000,13020137.0,99.5,0.0,347893.435,55653588336.585,,,200
2021-08-14 00:39:39.000,13020138.0,31.5,0.0,186254.296875,60899670881.1875,84991268230.76923,11006063954.23077,64
2021-08-14 00:39:43.000,13020139.0,150.0,0.0,190719.8438538206,68807180242.08305,86577594575.75757,12444229933.333334,301
2021-08-14 00:40:11.000,13020140.0,23.5,0.0,205339.125,60926906360.270836,92368952515.15152,3699861996.6666665,48
2021-08-14 00:40:14.000,13020141.0,77.5,0.0,163654.48076923078,59395537036.05769,86256304680.0,13726813760.0,156
2021-08-14 00:40:24.000,13020143.0,133.5,0.0,181552.42537313432,55460280531.716415,,,268
2021-08-14 00:40:41.000,13020144.0,96.0,72.73913043478261,228736.96373056996,58497506152.76166,79940242715.90909,22528902538.522728,193
2021-08-14 00:40:52.000,13020145.0,65.5,0.0,163572.28787878787,65305328943.56061,80839989666.66667,8560813400.0,132
2021-08-14 00:41:05.000,13020146.0,12.0,0.0,197491.0,55505103907.48,,,25
2021-08-14 00:41:06.000,13020147.0,89.5,0.0,273257.60555555555,51218611592.56111,53313818555.55556,38454645700.0,180
2021-08-14 00:41:11.000,13020148.0,13.5,0.0,266299.78571428574,65220165596.64286,88697155500.0,4200000000.0,28
2021-08-14 00:41:12.000,13020149.0,48.5,0.0,191649.47959183675,69420775289.86734,79230984076.92308,19077620076.923077,98
2021-08-14 00:41:13.000,13020150.0,1.0,0.0,183162.33333333334,50082988014.333336,70739100000.0,4000000000.0,3
2021-08-14 00:41:14.000,13020151.0,79.5,0.0,371866.55625,45285624235.83125,74645041176.47058,42250073705.882355,160
2021-08-14 00:41:17.000,13020152.0,55.5,0.0,154594.19642857142,55982890864.91964,78812990846.15384,13465027681.923077,112
